,gene_id,gene_name,gene_type,unstranded,stranded_first,stranded_second,tpm_unstranded,fpkm_unstranded,fpkm_uq_unstranded,class
58892,ENSG00000286469.1,AL445668.1,lncRNA,0,0,0,0.0,0.0,0.0,1
58893,ENSG00000286470.1,AL034427.1,lncRNA,0,0,0,0.0,0.0,0.0,1
58894,ENSG00000286471.1,AC027250.2,lncRNA,0,0,0,0.0,0.0,0.0,1
58895,ENSG00000286472.1,AL035252.5,lncRNA,41,16,25,1.3248,0.5058,0.5547,1
58896,ENSG00000286473.1,AC133485.7,lncRNA,0,0,0,0.0,0.0,0.0,1
58897,ENSG00000286474.1,AL355672.1,lncRNA,0,0,0,0.0,0.0,0.0,1
58898,ENSG00000286475.1,AL592156.1,lncRNA,1,0,1,0.037,0.0141,0.0155,1
58899,ENSG00000286476.1,AC079030.1,lncRNA,0,0,0,0.0,0.0,0.0,1
58900,ENSG00000286477.1,AC095038.4,lncRNA,0,0,0,0.0,0.0,0.0,1
58901,ENSG00000286478.1,AC007130.1,lncRNA,0,0,0,0.0,0.0,0.0,1
58902,ENSG00000286479.1,AL132718.1,lncRNA,0,0,0,0.0,0.0,0.0,1
58903,ENSG00000286480.1,AC009501.2,lncRNA,1,0,1,0.0461,0.0176,0.0193,1
58904,ENSG00000286481.1,AC011246.1,lncRNA,3,0,3,0.032,0.0122,0.0134,1
58905,ENSG00000286482.1,AL117344.2,lncRNA,18,4,14,0.2533,0.0967,0.106,1
58906,ENSG00000286483.1,AL121762.1,lncRNA,0,0,0,0.0,0.0,0.0,1
58907,ENSG00000286484.1,AC021451.2,lncRNA,0,0,0,0.0,0.0,0.0,1
58908,ENSG00000286485.1,Z80897.1,lncRNA,3,248,259,0.0764,0.0292,0.032,1
58909,ENSG00000286486.1,AL590483.4,lncRNA,0,0,0,0.0,0.0,0.0,1
58910,ENSG00000286487.1,AC006398.1,lncRNA,1,1,0,0.0633,0.0242,0.0265,1
58911,ENSG00000286488.1,AC103858.3,lncRNA,9,36,21,0.1215,0.0464,0.0509,1
58912,ENSG00000286489.1,AC010789.2,lncRNA,0,95,99,0.0,0.0,0.0,1
58913,ENSG00000286490.1,AC067942.4,lncRNA,0,0,0,0.0,0.0,0.0,1
58914,ENSG00000286491.1,AL023553.1,lncRNA,1,0,1,0.1478,0.0564,0.0619,1
58915,ENSG00000286492.1,AC117509.1,lncRNA,2,2,1,0.4369,0.1668,0.1829,1
58916,ENSG00000286493.1,AC069214.1,lncRNA,0,0,1,0.0,0.0,0.0,1
58917,ENSG00000286494.1,AC022325.2,lncRNA,34,16,18,2.503,0.9557,1.048,1
58918,ENSG00000286495.1,AC092079.2,lncRNA,0,0,0,0.0,0.0,0.0,1
58919,ENSG00000286496.1,AL359764.1,lncRNA,1,1,0,0.0093,0.0035,0.0039,1
58920,ENSG00000286497.1,AP001924.2,lncRNA,0,0,0,0.0,0.0,0.0,1
58921,ENSG00000286498.1,AL132982.1,lncRNA,0,0,0,0.0,0.0,0.0,1
58922,ENSG00000286499.1,AP006219.2,lncRNA,0,0,0,0.0,0.0,0.0,1
58923,ENSG00000286500.1,AL512643.2,lncRNA,0,1,0,0.0,0.0,0.0,1
58924,ENSG00000286501.1,AC018545.1,lncRNA,0,0,0,0.0,0.0,0.0,1
58925,ENSG00000286502.1,AL645768.1,lncRNA,5,415,317,0.0602,0.023,0.0252,1
58926,ENSG00000286503.1,AC008462.1,lncRNA,1,1,0,0.0792,0.0303,0.0332,1
58927,ENSG00000286504.1,AC092745.4,lncRNA,2,1,1,0.033,0.0126,0.0138,1
58928,ENSG00000286505.1,AC087468.2,lncRNA,0,0,0,0.0,0.0,0.0,1
58929,ENSG00000286506.1,FP325317.2,transcribed_unprocessed_pseudogene,0,0,0,0.0,0.0,0.0,1
58930,ENSG00000286507.1,AC004947.3,lncRNA,2,0,2,0.1761,0.0672,0.0737,1
58931,ENSG00000286508.1,AC000050.2,lncRNA,15,6,9,3.3868,1.2931,1.418,1
58932,ENSG00000286509.1,AC026408.1,lncRNA,2,1,1,0.1046,0.0399,0.0438,1
58933,ENSG00000286510.1,AC018695.8,lncRNA,0,0,0,0.0,0.0,0.0,1
58934,ENSG00000286511.1,Z95118.2,lncRNA,32,15,17,0.6874,0.2625,0.2878,1
58935,ENSG00000286512.1,AL031768.2,lncRNA,1,0,1,0.0152,0.0058,0.0064,1
58936,ENSG00000286513.1,AC010982.2,lncRNA,0,0,0,0.0,0.0,0.0,1
58937,ENSG00000286514.1,AL355870.2,lncRNA,1,0,1,0.0723,0.0276,0.0303,1
58938,ENSG00000286515.1,AC142116.2,lncRNA,0,0,0,0.0,0.0,0.0,1
58939,ENSG00000286516.1,AC106719.1,lncRNA,3,1,2,0.1795,0.0685,0.0751,1
58940,ENSG00000286517.1,AP000696.2,lncRNA,0,0,0,0.0,0.0,0.0,1
58941,ENSG00000286518.1,AL354743.1,lncRNA,5,3,2,0.0969,0.037,0.0406,1
58942,ENSG00000286519.1,AC009236.1,lncRNA,0,0,0,0.0,0.0,0.0,1
58943,ENSG00000286520.1,AC079851.1,lncRNA,4,0,4,0.0506,0.0193,0.0212,1
